occupation,women,white,black,asian,hispanic,total
,40.1,40.8,31.3,53.7,22.4,107.4
"Management, business, and financial operations occupations",16.6,17.5,11.1,18,9.4,38.5
Management occupations,11.7,12.6,7.2,11,6.9,25.1
Business and financial operations occupations,4.9,4.9,3.9,7,2.4,13.3
Professional and related occupations,23.5,23.3,20.2,35.7,13,68.9
Computer and mathematical occupations,3.3,2.8,2.3,11.5,1.4,15.2
Architecture and engineering occupations,2.1,2.1,1.1,4,1.1,6.2
"Life, physical, and social science occupations",1,1,0.6,2,0.5,3.1
Community and social service occupations,1.7,1.6,2.9,1.1,1.2,5.2
Legal occupations,1.2,1.3,0.7,0.9,0.7,2.3
"Education, training, and library occupations",6,6.2,5.2,5,3.7,13.9
"Arts, design, entertainment, sports, and media occupations",2.2,2.3,1.3,1.9,1.5,4.7
Healthcare practitioners and technical occupations,6,5.8,6.2,9.5,3,18.7
Service occupations,17.2,15.9,24.4,16.5,24.3,65.2
Healthcare support occupations,2.3,1.9,5,2.1,2.5,9.6
Protective service occupations,2.1,1.9,3.4,0.8,1.6,5.8
Food preparation and serving related occupations,5.3,5,6.4,5.4,7.9,19.7
Building and grounds cleaning and maintenance occupations,3.8,3.7,4.6,1.8,8.4,14.8
Personal care and service occupations,3.8,3.4,5.1,6.4,3.9,15.4
Sales and office occupations,21.5,21.6,22.4,16.8,20.6,59.8
Sales and related occupations,10.1,10.4,9.1,8.6,9.6,27.3
Office and administrative support occupations,11.3,11.2,13.3,8.2,11,32.5
"Natural resources, construction, and maintenance occupations",9.3,10.3,5.8,3.3,17.1,26.2
"Farming, fishing, and forestry occupations",0.7,0.8,0.2,0.3,1.9,2.4
Construction and extraction occupations,5.4,6,3.1,1.4,11.4,15.9
"Installation, maintenance, and repair occupations",3.2,3.4,2.5,1.7,3.7,7.9
"Production, transportation, and material moving occupations",11.9,11.4,16.1,9.6,15.7,41.4
Production occupations,5.5,5.4,6.1,5.1,7.5,18.7
Transportation and material moving occupations,6.4,5.9,10,4.5,8.2,22.7
,,,,,,
"Men, 16 years and older (In thousands)","82,698","65,702","9,018","5,188","15,418",
Percent,100,100,100,100,100,
,,,,,,
"Management, professional, and related occupations",36.6,37.1,25.9,54.9,18.8,
"Management, business, and financial operations occupations",17.5,18.6,10.8,18.2,9.1,
Management occupations,13.3,14.3,7.6,12.3,7.2,
Business and financial operations occupations,4.2,4.3,3.2,5.9,1.9,
Professional and related occupations,19.1,18.5,15.1,36.7,9.7,
Computer and mathematical occupations,4.6,4,3,15.9,1.8,
Architecture and engineering occupations,3.3,3.3,1.8,6.1,1.6,
"Life, physical, and social science occupations",1,1,0.6,2,0.5,
Community and social service occupations,1.1,1,1.8,0.9,0.6,
Legal occupations,1.1,1.3,0.5,0.6,0.5,
"Education, training, and library occupations",3,3,2.8,3.5,1.6,
"Arts, design, entertainment, sports, and media occupations",2.2,2.2,1.9,1.6,1.5,
Healthcare practitioners and technical occupations,2.8,2.6,2.8,6.1,1.5,
Service occupations,13.8,12.8,20.3,12.7,19,
Healthcare support occupations,0.6,0.4,1.4,0.9,0.6,
Protective service occupations,3,2.9,4.6,1.3,2.2,
Food preparation and serving related occupations,4.4,4,6.2,5.3,7,
Building and grounds cleaning and maintenance occupations,4.2,4.1,5.4,1.9,7.8,
Personal care and service occupations,1.7,1.4,2.7,3.4,1.4,
Sales and office occupations,15.7,15.6,17.3,13.9,13.9,
Sales and related occupations,9.7,10,8.3,8.4,7.7,
Office and administrative support occupations,6.1,5.6,9,5.5,6.2,
"Natural resources, construction, and maintenance occupations",16.6,18.1,11.5,5.7,28.2,
"Farming, fishing, and forestry occupations",1,1.2,0.3,0.3,2.4,
Construction and extraction occupations,9.7,10.7,6.3,2.5,19.4,
"Installation, maintenance, and repair occupations",5.8,6.2,4.9,2.9,6.3,
"Production, transportation, and material moving occupations",17.2,16.4,25,12.8,20.2,
Production occupations,7.4,7.4,8.4,5.6,8.6,
Transportation and material moving occupations,9.8,9.1,16.6,7.2,11.6,
,,,,,,
"Women, 16 years and older (In thousands)","73,063","55,759","10,073","4,644","11,594",
Percent,100,100,100,100,100,
,,,,,,
"Management, professional, and related occupations",44,45.2,36.2,52.5,27.2,
"Management, business, and financial operations occupations",15.6,16.3,11.4,17.8,9.8,
Management occupations,10,10.7,6.9,9.5,6.6,
Business and financial operations occupations,5.6,5.6,4.5,8.2,3.2,
Professional and related occupations,28.4,28.9,24.8,34.7,17.4,
Computer and mathematical occupations,1.8,1.5,1.6,6.6,0.9,
Architecture and engineering occupations,0.7,0.7,0.5,1.6,0.3,
"Life, physical, and social science occupations",1,1,0.6,1.9,0.5,
Community and social service occupations,2.4,2.3,3.8,1.3,1.9,
Legal occupations,1.3,1.4,1,1.3,0.9,
"Education, training, and library occupations",9.3,10.1,7.3,6.5,6.5,
"Arts, design, entertainment, sports, and media occupations",2.2,2.4,0.7,2.2,1.5,
Healthcare practitioners and technical occupations,9.7,9.6,9.3,13.3,4.9,
Service occupations,21.1,19.6,28,20.8,31.4,
Healthcare support occupations,4.3,3.7,8.2,3.5,5,
Protective service occupations,1,0.8,2.3,0.3,0.9,
Food preparation and serving related occupations,6.2,6.1,6.5,5.6,9.1,
Building and grounds cleaning and maintenance occupations,3.3,3.3,3.8,1.8,9.2,
