occupation,women,white,black,asian,hispanic,total
"Management, professional, and related occupations",39.2,40,30.1,52.3,22,104.4
"Management, business, and financial operations occupations",16.5,17.3,11.3,17.9,9.7,38.9
Management occupations,11.5,12.3,7.2,11.6,6.8,25.6
Business and financial operations occupations,5,5,4.1,6.3,2.9,13.3
Professional and related occupations,22.8,22.7,18.8,34.4,12.3,65.5
Computer and mathematical occupations,3,2.6,2,10.6,1.2,13.8
Architecture and engineering occupations,2.1,2.1,1,3.9,1.1,6
"Life, physical, and social science occupations",0.9,0.9,0.5,2.4,0.4,3.3
Community and social service occupations,1.7,1.6,2.7,1,1.3,5
Legal occupations,1.2,1.3,0.6,0.8,0.6,2
"Education, training, and library occupations",5.9,6.2,5,4.6,3.5,13.1
"Arts, design, entertainment, sports, and media occupations",2,2.2,1.1,1.8,1.3,4.2
Healthcare practitioners and technical occupations,5.9,5.7,5.9,9.3,2.8,18
Service occupations,17.7,16.5,25.1,16.1,25.4,66.6
Healthcare support occupations,2.3,1.9,5.4,2.1,2.4,9.9
Protective service occupations,2.1,1.9,3.3,1,1.7,6
Food preparation and serving related occupations,5.6,5.4,6.5,5.4,8.7,20.6
Building and grounds cleaning and maintenance occupations,3.8,3.8,4.7,1.8,8.8,15.3
Personal care and service occupations,3.8,3.4,5.1,5.8,3.7,14.6
Sales and office occupations,22.1,22.1,23.5,18.9,20.8,63.2
Sales and related occupations,10.5,10.6,9.7,9.8,9.8,29.3
Office and administrative support occupations,11.7,11.5,13.8,9.1,10.9,33.8
"Natural resources, construction, and maintenance occupations",9.2,10.1,5.7,3.4,16.3,25.4
"Farming, fishing, and forestry occupations",0.7,0.8,0.3,0.2,2,2.5
Construction and extraction occupations,5.2,5.9,3,1.5,10.7,15.2
"Installation, maintenance, and repair occupations",3.2,3.5,2.4,1.7,3.7,7.8
"Production, transportation, and material-moving occupations",11.7,11.3,15.6,9.3,15.6,40.5
Production occupations,5.6,5.5,6.1,5.4,7.5,19
Transportation and material moving occupations,6.1,5.7,9.5,3.9,8.1,21.5
