occupation,women,white,black,asian,hispanic,total
"Management, professional, and related occupations",39.7,40.6,30.8,52,22.5,105.3
"Management, business, and financial operations occupations",16.6,17.5,11.2,17.2,9.8,38.2
Management occupations,11.6,12.4,7.3,11.2,6.8,25.3
Business and financial operations occupations,4.9,5.1,3.8,6,3,12.8
Professional and related occupations,23.2,23,19.6,34.8,12.7,67.1
Computer and mathematical occupations,3.1,2.7,2.2,10.6,1.4,14.2
Architecture and engineering occupations,2.1,2.1,1,4.3,1.1,6.4
"Life, physical, and social science occupations",0.9,0.9,0.4,2.4,0.5,3.3
Community and social service occupations,1.7,1.6,2.8,1.1,1.3,5.2
Legal occupations,1.2,1.3,0.7,0.8,0.6,2.1
"Education, training, and library occupations",6,6.3,5.3,4.7,3.7,13.7
"Arts, design, entertainment, sports, and media occupations",2.1,2.3,1.3,1.8,1.3,4.4
Healthcare practitioners and technical occupations,6,5.8,5.9,9.1,2.9,17.9
Service occupations,17.4,16.2,24.2,16.8,24.8,65.8
Healthcare support occupations,2.3,1.9,4.7,1.9,2.5,9.1
Protective service occupations,2,1.9,3.4,1,1.5,5.9
Food preparation and serving related occupations,5.4,5.1,6.2,5.4,8.2,19.8
Building and grounds cleaning and maintenance occupations,3.8,3.8,4.7,2,8.6,15.3
Personal care and service occupations,3.9,3.4,5.1,6.4,3.9,15.4
Sales and office occupations,21.9,21.9,23.4,17.9,20.6,61.9
Sales and related occupations,10.3,10.5,9.4,9.3,9.7,28.4
Office and administrative support occupations,11.6,11.4,13.9,8.5,10.9,33.3
"Natural resources, construction, and maintenance occupations",9.3,10.3,5.6,3.3,16.8,25.7
"Farming, fishing, and forestry occupations",0.8,0.9,0.3,0.2,2,2.5
Construction and extraction occupations,5.2,5.9,3,1.4,11.1,15.5
"Installation, maintenance, and repair occupations",3.2,3.5,2.3,1.7,3.6,7.6
"Production, transportation, and material moving occupations",11.7,11.1,16,10,15.4,41.4
Production occupations,5.5,5.4,6.1,5.5,7.5,19.1
Transportation and material moving occupations,6.2,5.7,9.9,4.5,7.9,22.3
